district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Dadra & Nagar Haveli,P49600000001,Pramukh Sneh Phase 2,Pramukh Realty,396230,"('20.255317591410726','73.011128801605200')",On-Going Project,12/31/2018,12/31/2018,,Group Housing,3709.0,384.0,5708.0,03/09/2020,,144.0,132.0,0.0,2.0,0.0,20.0,2.0,44.0,0.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000048,SIGNATURE HEIGHTS,SHRI BALAJI REALITY,396230,"('20.278759999999998','73.008037999999999')",New Project,12/15/2019,,12/14/2021,Mixed Development(Residential  and Commercial),2600.0,1803.59,5029.97,08/18/2021,,79.0,0.0,1.0,1.0,0.0,10.0,1.0,0.0,68.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000002,DEEP LAXMI DEVELOPERS,DEEP LAXMI DEVELOPERS,396230,"('21.111700200000001','79.072979300000000')",On-Going Project,03/31/2018,09/30/2020,,Mixed Development(Residential  and Commercial),1004.0,997.61,8101.16,05/16/2018,,63.0,30.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000004,PRAMUKH GARDENS PHASE 2,PRASHANT DEVELOPERS PVT LTD,396230,"('20.280017249361848','73.010459290351830')",On-Going Project,12/31/2019,12/31/2019,,Group Housing,11614.17,2331.0,20522.61,07/02/2019,,189.0,100.0,0.0,5.0,0.0,50.0,5.0,80.0,0.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000010,VRUNDAVAN,SILVASSA ASBESTOS CEMENT PRODUCT,396230,"('20.282335000000000','73.011070000000004')",On-Going Project,10/31/2018,10/31/2018,,Mixed Development(Residential  and Commercial),12977.25,1309.26,6298.28,09/21/2019,,112.0,12.0,0.0,2.0,0.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000051,SAHJANAND PARK,LAXMI REALTORS,396230,"('20.281794999999999','73.009574999999998')",New Project,12/22/2024,,,Group Housing,8836.0,441.8,8362.0,04/06/2018,,268.0,0.0,0.0,6.0,0.0,30.0,6.0,6.0,6.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000008,Pramukh Sangam Phase 2,Pramukh Devcon Pvt. Ltd,396230,"('20.256801800000000','73.011018100000000')",On-Going Project,03/31/2019,03/31/2019,,Group Housing,3940.65,806.73,7757.2,08/22/2020,,144.0,130.0,0.0,2.0,0.0,20.0,2.0,49.0,0.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000031,SHASHIKALP CLASSIC,SHREE SHIV BUILDERS,396230,"('20.255680999999999','73.009666999999993')",On-Going Project,07/31/2018,07/31/2018,07/31/2019,Mixed Development(Residential  and Commercial),2000.0,0.0,3751.75,10/16/2019,,111.0,65.0,0.0,1.0,0.0,10.0,0.0,0.0,18.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000006,Yogi Milan Phase 2,Shiv Builders,396230,"('20.279993031798483','72.992042466934210')",On-Going Project,03/31/2019,03/31/2019,,Group Housing,4360.0,512.0,8706.92,06/20/2019,,162.0,160.0,0.0,3.0,0.0,30.0,3.0,60.0,54.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000005,PRABHAT APPARTMENT,AB DEVELOPERS,396230,"('20.280571999999999','73.006394999999998')",On-Going Project,01/15/2018,05/15/2018,,Group Housing,630.5,0.0,756.6,10/31/2018,,16.0,16.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000042,THE VEDAS,Sai Infrastructure and Developers,396230,"('18.597300199999999','73.692523600000001')",New Project,12/30/2023,,,Mixed Development(Residential  and Commercial),6130.0,707.0,4840.0,12/18/2023,,96.0,0.0,1.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000029,"JAS LUXURIA , J-1",ASHNAY Developers,396230,"('20.273105999999999','72.994921000000005')",On-Going Project,12/30/2019,12/30/2019,,Mixed Development(Residential  and Commercial),1930.73,0.0,6359.62,07/10/2020,,70.0,6.0,2.0,2.0,0.0,20.0,0.0,10.0,16.0,0.0,0.0,0.0
