district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Mumbai City,P51900002789,Four Seasons Private Residences Phase - 1,Provenance Land Private Limited,400018,"('18.995630000000000','72.820807000000000')",On-Going Project,12/31/2020,12/31/2020,12/30/2022,Residential,4069.37,610.41,9405.11,06/03/2023,,,37.0,24.0,2.0,1.0,0.0,45.0,0.0,0.0,113.0,0.0,0.0,0.0
Mumbai City,P51900000070,A. M. Residency,ALFA MANA REALTORS PVT LTD,400010,"('18.970188400000000','72.845961900000000')",On-Going Project,09/30/2019,09/29/2020,12/31/2023,Mixed (Plots & Buildings),3653.88,3653.88,13052.25,01/18/2024,13.0,,345.0,125.0,0.0,2.0,0.0,18.0,0.0,114.0,0.0,0.0,0.0,0.0
Mumbai City,P51900001579,SONAS TOWER,SHREE DEVIJUGAI DEVELOPERS,400012,"('19.006946000000000','72.841149000000000')",On-Going Project,08/13/2017,12/31/2017,,Residential,691.48,0.0,2602.02,10/23/2017,3.0,,23.0,11.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai City,P51900010839,OM SAHIL SOLITAIRE,M/s. OM SAHIL SOLITAIRE,400015,"('18.990475000000000','72.852523000000000')",On-Going Project,09/21/2022,09/21/2023,,Others,7614.54,729.05,30458.16,09/22/2023,1.0,,209.0,64.0,4.0,5.0,6.0,99.0,4.0,317.0,344.0,0.0,0.0,0.0
Mumbai City,P51900002871,CHANDAN PRIDE,SANGHVI LAND DEVELOPERS PVT LTD,400075,"('19.079916400000000','72.917435800000000')",On-Going Project,12/31/2018,12/31/2019,06/30/2024,Residential,705.75,0.0,2197.93,01/03/2024,,,51.0,43.0,0.0,1.0,0.0,8.0,7.0,5.0,7.0,0.0,0.0,0.0
Mumbai City,P51900000049,AARADHYA SIGNATURE,MANMANTRA INFRACON LLP,400022,"('19.042560400000000','72.863808900000000')",On-Going Project,06/30/2018,12/31/2018,,Residential,711.37,0.0,3413.0,09/29/2021,,,28.0,15.0,0.0,1.0,4.0,16.0,1.0,0.0,44.0,0.0,0.0,0.0
Mumbai City,P51900000558,SHREEPATI ARADHANA,SHREEPATI BUILD INFRA INVESTMENT LIMITED,400002,"('18.948367000000000','72.825936000000000')",On-Going Project,12/31/2018,12/31/2019,12/30/2022,Residential,2389.46,238.25,12485.32,04/04/2023,,,67.0,52.0,1.0,3.0,0.0,64.0,0.0,0.0,108.0,0.0,0.0,0.0
Mumbai City,P51900003161,VICTORIAN,Faithfull Developers,400014,"('19.014796200000000','72.845453400000000')",On-Going Project,10/31/2017,04/30/2018,04/30/2019,Residential,3500.0,284.5,5887.6,04/28/2023,,2.0,66.0,53.0,1.0,1.0,6.0,40.0,1.0,0.0,145.0,0.0,0.0,0.0
Mumbai City,P51900007455,Sanghvi Evana,Sanghvi Premises Private Limited,400013,"('18.998172900000000','72.827469100000000')",On-Going Project,12/31/2020,12/30/2021,,Others,1473.9,99.22,8651.76,12/03/2020,,1.0,32.0,16.0,0.0,1.0,3.0,24.0,0.0,0.0,68.0,0.0,0.0,0.0
Mumbai City,P51900000043,Ruby Mill,MHADA,400028,"('19.023175000000000','72.843432400000000')",On-Going Project,12/30/2017,12/31/2017,,Residential,545.77,43.66,2083.27,06/19/2019,,,47.0,47.0,0.0,1.0,0.0,19.0,1.0,8.0,1.0,0.0,0.0,0.0
Mumbai City,P51900000032,Bharat Mill,MHADA,400013,"('18.998172900000000','72.827469100000000')",On-Going Project,10/15/2017,12/31/2017,,Residential,1938.12,155.66,8718.37,12/21/2018,,,188.0,188.0,0.0,1.0,0.0,25.0,1.0,22.0,7.0,0.0,0.0,0.0
Mumbai City,P51900000021,Jubilee Mill,MHADA,400015,"('18.996087200000000','72.852835600000000')",On-Going Project,10/15/2017,12/31/2017,,Residential,1629.85,132.13,7313.73,12/21/2018,,,157.0,157.0,0.0,1.0,0.0,25.0,1.0,18.0,6.0,0.0,0.0,0.0
Mumbai City,P51900000028,Prakash Cotton Mill,MHADA,400013,"('18.998172900000000','72.827469100000000')",On-Going Project,10/15/2017,12/31/2017,,Residential,5067.78,448.17,26386.95,09/03/2021,,,562.0,562.0,0.0,2.0,0.0,50.0,2.0,68.0,2.0,0.0,0.0,0.0
Mumbai City,P51900004280,Bombay Dyeing Mill,MHADA,400014,"('19.014796200000000','72.845453400000000')",On-Going Project,02/04/2018,12/31/2018,12/30/2023,Residential,22548.59,2290.11,98501.3,02/25/2020,1.0,,3350.0,0.0,0.0,11.0,0.0,263.0,11.0,0.0,524.0,0.0,0.0,0.0
Mumbai City,P51900000022,Century Mill,MHADA,400013,"('18.998172900000000','72.827469100000000')",On-Going Project,10/15/2017,12/31/2017,,Residential,13091.9,0.0,35543.31,12/21/2018,,,1430.0,1430.0,0.0,5.0,0.0,125.0,5.0,160.0,64.0,0.0,0.0,0.0
Mumbai City,P51900004885,Pratiksha Nagar Sion Phase V,MHADA,400022,"('19.042560400000000','72.863808900000000')",On-Going Project,12/31/2026,12/31/2018,06/30/2027,Residential,1339.93,0.0,4599.46,10/25/2021,,,84.0,0.0,0.0,1.0,0.0,25.0,1.0,8.0,6.0,0.0,0.0,0.0
Mumbai City,P51900050924,Novelty Grandeur,Goodwill Theaters Private Limited,400007,"('18.962123290428320','72.818315905570400')",New Project,03/31/2030,,,Others,2463.0,370.91,5612.61,12/27/2023,9.0,,45.0,0.0,2.0,1.0,3.0,16.0,1.0,0.0,86.0,0.0,0.0,0.0
Mumbai City,P51900000050,Pratiksha Nagar Phase IV,MHADA,400022,"('19.042560400000000','72.863808900000000')",On-Going Project,12/31/2017,12/31/2017,10/30/2020,Residential,3724.5,716.16,6306.75,09/09/2021,,,28.0,28.0,0.0,1.0,0.0,8.0,1.0,0.0,33.0,0.0,0.0,0.0
Mumbai City,P51900000025,Western India Mill,MHADA,400012,"('18.999540700000000','72.839708900000000')",On-Going Project,10/15/2017,12/31/2017,,Residential,2951.86,237.03,11704.8,08/10/2021,,,250.0,250.0,0.0,2.0,0.0,50.0,2.0,29.0,9.0,0.0,0.0,0.0
Mumbai City,P51900010179,219 Boat Club,MERINT DEVELOPERS PVT LTD,400050,"('19.055169500000000','72.829951800000000')",On-Going Project,02/28/2018,05/30/2018,,Residential,2326.0,600.0,8218.0,02/28/2019,,,1.0,0.0,2.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai City,P51900006786,Palais Royale,HONEST SHELTERS PRIVATE LTD,400013,"('18.998172900000000','72.827469100000000')",On-Going Project,06/30/2022,12/30/2022,12/30/2023,Residential,28409.57,7150.22,54715.2,01/17/2024,12.0,12.0,162.0,77.0,2.0,1.0,8.0,73.0,1.0,100.0,746.0,0.0,0.0,0.0
Mumbai City,P51900000793,Kalpataru Avana,Kalpataru Limited,400012,"('18.998898627486500','72.842585438098130')",On-Going Project,03/31/2019,12/30/2022,,Residential,1338.0,2328.0,37067.67,09/30/2023,1.0,15.0,276.0,254.0,2.0,1.0,7.0,47.0,1.0,0.0,588.0,0.0,0.0,0.0
Mumbai City,P51900005858,PARK VISION,VVA VISION REALTORS LLP,400016,"('19.038945500000000','72.842054600000000')",New Project,06/01/2022,,06/30/2024,Residential,443.24,0.0,1427.0,06/27/2023,,,10.0,8.0,0.0,1.0,0.0,18.0,1.0,6.0,22.0,0.0,0.0,0.0
Mumbai City,P51900007293,Om Sat,Shree Siddhi Developers,400014,"('19.021777256323870','72.850198227747340')",On-Going Project,12/31/2018,12/31/2018,12/31/2019,Residential,535.12,0.0,1660.98,08/06/2021,1.0,,14.0,14.0,0.0,1.0,0.0,8.0,1.0,0.0,23.0,0.0,0.0,0.0
Mumbai City,P51900000206,KANAKIA MIAMI,KANAKIA SPACES REALTY PRIVATE LIMITED,400016,"('19.038945500000000','72.842054600000000')",On-Going Project,09/30/2018,09/30/2020,,Residential,5542.3,1116.93,4911.35,02/10/2022,,5.0,47.0,43.0,0.0,1.0,2.0,26.0,0.0,21.0,92.0,0.0,0.0,0.0
Mumbai City,P51900001717,Prem Girja,premdevelopers,400019,"('19.029419700000000','72.854605800000000')",On-Going Project,02/28/2019,02/28/2019,,Residential,622.08,0.0,2483.0,12/17/2021,,,28.0,28.0,0.0,1.0,4.0,15.0,0.0,6.0,0.0,0.0,0.0,0.0
Mumbai City,P51900006052,Anand Height Wing B & C and D,Akbar Mohamadali Kazi,400037,"('19.025747500000000','72.869694400000000')",On-Going Project,06/30/2021,06/30/2022,,Residential,969.89,223.32,0.0,04/17/2023,,,82.0,5.0,1.0,1.0,2.0,19.0,1.0,24.0,7.0,0.0,0.0,0.0
Mumbai City,P51900000978,Preksha,Sugee Six Developers LLP,400014,"('19.018848443474777','72.847845930441280')",New Project,09/30/2020,,03/30/2022,Residential,1221.57,135.07,4050.34,04/05/2022,,,36.0,26.0,0.0,1.0,0.0,10.0,1.0,0.0,54.0,0.0,0.0,0.0
Mumbai City,P51900007488,MODY KUNJ,MEHTA ENTERPRISES,400019,"('19.026901200000000','72.855377300000000')",On-Going Project,03/31/2018,03/31/2019,,Residential,693.98,0.0,2771.24,01/17/2022,,,37.0,37.0,0.0,1.0,0.0,15.0,0.0,0.0,30.0,0.0,0.0,0.0
Mumbai City,P51900001098,Sanskruti,Sugee Three Developers LLP,400028,"('19.025559832278550','72.840507451069240')",New Project,08/31/2020,,03/30/2022,Residential,710.89,0.0,3962.25,10/01/2022,,,25.0,25.0,0.0,1.0,0.0,22.0,0.0,0.0,59.0,0.0,0.0,0.0
Mumbai City,P51900008014,BUILDING 2 - PHASE OF PROJECT NAMED VIVAREA CONSTRUCTED ON PORTION OF THE PROJECT LAND,GENEXT HARDWARE & PARKS PRIVATE LIMITED,400011,"('18.981045100000000','72.826757900000000')",On-Going Project,06/30/2018,06/30/2019,,Residential,60064.83,14851.2,31935.02,08/23/2023,2.0,,110.0,95.0,2.0,1.0,1.0,46.0,2.0,0.0,327.0,0.0,0.0,0.0
Mumbai City,P51900002210,ASTERIA HEIGHTS,SONA DEVELOPERS,400028,"('19.023175000000000','72.843432400000000')",On-Going Project,03/31/2021,03/30/2022,,Residential,2813.56,243.1,8588.49,06/28/2021,2.0,1.0,60.0,51.0,3.0,1.0,0.0,23.0,1.0,0.0,66.0,0.0,0.0,0.0
Mumbai City,P51900000834,Govind Sadan,Sugee Developers Pvt Ltd,400028,"('19.023954733617710','72.838695618879680')",New Project,12/30/2020,,,Residential,429.77,0.0,1486.0,10/01/2022,,,6.0,6.0,0.0,1.0,0.0,18.0,1.0,0.0,36.0,0.0,0.0,0.0
Mumbai City,P51900000138,Excalibur by Nahar,NAHAR EXCALIBUR PROJECT PRIVATE LIMITED,400011,"('18.981045100000000','72.826757900000000')",On-Going Project,06/30/2019,06/30/2019,12/30/2020,Residential,2503.36,201.0,11430.21,06/12/2023,,,238.0,211.0,3.0,3.0,5.0,66.0,3.0,5.0,117.0,0.0,0.0,0.0
Mumbai City,P51900010115,RAJKAMAL PARK,PRARTHANA GRIHA NIRMAN,400012,"('18.995963000000000','72.842362000000000')",On-Going Project,12/31/2022,12/30/2023,12/29/2024,Residential,3150.83,0.0,10953.91,11/24/2023,,,126.0,96.0,0.0,2.0,0.0,14.0,2.0,0.0,2.0,0.0,0.0,0.0
Mumbai City,P51900000828,LODHA AZZURO,Macrotech Developers Limited,400033,"('18.991910000000000','72.840645600000020')",On-Going Project,06/30/2021,06/30/2022,,Residential,782.93,0.0,20750.05,12/22/2023,4.0,18.0,220.0,220.0,2.0,1.0,5.0,63.0,0.0,0.0,424.0,0.0,0.0,0.0
Mumbai City,P51900001723,PARK PALLAZZO,NANDIVARDHAN CONSTRUCTIONS PRIVATE LIMITED,400014,"('19.021129000000000','72.849134000000000')",On-Going Project,04/30/2019,12/31/2019,02/25/2021,Residential,936.46,0.0,3655.56,08/01/2020,,,12.0,8.0,0.0,1.0,4.0,23.0,1.0,0.0,50.0,0.0,0.0,0.0
Mumbai City,P51900002895,DEEKAY ARIA,DEEKAY DEVELOPER,400004,"('18.957987700000000','72.821439900000000')",On-Going Project,06/30/2020,12/30/2020,05/30/2022,Residential,544.41,0.0,3612.9,06/29/2021,,,91.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai City,P51900009379,Raheja Imperia - I,Raheja Universal (Pvt.) Ltd.,400013,"('19.001597000000000','72.824423000000000')",On-Going Project,12/31/2019,12/30/2022,,Residential,1355.0,0.0,44412.96,04/18/2022,,4.0,262.0,215.0,0.0,1.0,2.0,58.0,1.0,0.0,772.0,0.0,0.0,0.0
Mumbai City,P51900002841,DILKAP VICTOR,GORKAP PROPERTIES & INVESTMENTS PVT. LTD,400053,"('19.136380000000000','72.835865000000000')",On-Going Project,06/30/2019,12/31/2019,09/30/2024,Commercial,740.6,0.0,1052.24,10/09/2023,,,28.0,7.0,0.0,1.0,0.0,7.0,1.0,0.0,42.0,0.0,0.0,0.0
Mumbai City,P51900006119,DILKAP GRANDEUR,DILIP ESTATE & TOWN PLANNERS PVT LTD,400076,"('19.119414000000000','72.900643000000000')",On-Going Project,12/31/2021,06/30/2023,06/30/2024,Residential,3853.17,768.76,4472.97,09/11/2023,,6.0,40.0,25.0,0.0,1.0,1.0,32.0,1.0,93.0,53.0,0.0,0.0,0.0
Mumbai City,P51900011709,DILKAP CENTRE,GORKAP PROPERTIES & INVESTMENTS PVT. LTD,400070,"('19.074105900000000','72.880418300000000')",On-Going Project,10/31/2021,10/30/2023,,Commercial,3785.5,723.36,6632.45,01/19/2024,,1.0,91.0,63.0,2.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai City,P51900002091,DEVRATNA,K PATEL AND CO PVT LTD,400019,"('19.029419700000000','72.854605800000000')",On-Going Project,10/22/2018,10/22/2018,04/30/2019,Residential,580.09,0.0,2301.67,04/17/2023,,,20.0,18.0,1.0,1.0,4.0,22.0,1.0,2.0,1.0,0.0,0.0,0.0
Mumbai City,P51900009030,MAKSKAP CENTRE,DILIP ESTATE & TOWN PLANNERS PVT LTD,400053,"('19.135065600000000','72.832480400000000')",On-Going Project,06/30/2019,12/31/2019,12/31/2022,Commercial,1021.2,0.0,1940.26,01/19/2024,1.0,1.0,35.0,19.0,0.0,1.0,0.0,7.0,1.0,5.0,24.0,0.0,0.0,0.0
Mumbai City,P51900000623,SHREEPATI CORONET,SHREEPATI BUILD INFRA INVESTMENT LIMITED,400010,"('18.970188400000000','72.845961900000000')",On-Going Project,12/30/2018,12/30/2019,12/29/2021,Residential,871.25,0.0,4329.31,09/02/2023,2.0,,82.0,72.0,2.0,2.0,8.0,31.0,0.0,0.0,56.0,0.0,0.0,0.0
Mumbai City,P51900000590,Sam Bhoomi Sky Villas,LIFE Spaces Realty Private Limited,400019,"('19.026901200000000','72.855377300000000')",New Project,03/30/2025,,,Residential,601.17,0.0,2437.74,10/18/2023,,1.0,6.0,6.0,1.0,1.0,5.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0
Mumbai City,P51900005324,Vishnuchandra Sky,Pragatej Builders And Developers Pvt Ltds,400031,"('19.014013000000000','72.855215000000000')",On-Going Project,12/31/2019,12/30/2020,,Residential,3686.68,208.0,3870.19,07/28/2022,3.0,3.0,53.0,2.0,0.0,1.0,7.0,14.0,1.0,0.0,104.0,0.0,0.0,0.0
Mumbai City,P51900000383,RUNWAL RESERVE,RUNWAL DEVELOPERS PVT LTD,400018,"('18.996383000000000','72.821242000000000')",On-Going Project,12/31/2017,12/31/2018,12/31/2019,Residential,7394.06,3824.34,11381.38,10/30/2023,,9.0,90.0,57.0,2.0,1.0,1.0,32.0,1.0,0.0,1.0,0.0,0.0,0.0
Mumbai City,P51900000105,VIJAYA BHUVAN,PUSHPA M PAREKH,400019,"('19.026901200000000','72.855377300000000')",On-Going Project,10/28/2018,10/28/2018,,Residential,429.77,0.0,1729.0,01/04/2019,,,21.0,17.0,0.0,1.0,0.0,14.0,1.0,5.0,15.0,0.0,0.0,0.0
Mumbai City,P51900000604,Elanza,A R Constructions,400025,"('19.015830600000000','72.829392100000000')",On-Going Project,10/31/2017,03/31/2018,,Residential,1791.82,146.03,5714.04,03/26/2019,4.0,,49.0,7.0,0.0,1.0,0.0,23.0,1.0,0.0,63.0,0.0,0.0,0.0
Mumbai City,P51900002496,Aikya Signature,AIKYA REALTY PVT LTD,400007,"('18.961841100000000','72.813382500000000')",On-Going Project,06/30/2021,12/30/2022,,Others,831.11,0.0,3344.32,10/07/2023,,,23.0,23.0,0.0,1.0,0.0,20.0,1.0,0.0,51.0,0.0,0.0,0.0
Mumbai City,P51800001120,Unity Tower Wing B,Mumbai Shelter Housing Development,400013,"('18.998172900000000','72.827469100000000')",On-Going Project,12/31/2017,06/30/2018,,Residential,183.35,0.0,3748.01,04/17/2019,,4.0,33.0,33.0,0.0,1.0,0.0,23.0,1.0,0.0,36.0,0.0,0.0,0.0
Mumbai City,P51900002435,Tridhaatu Athena,Tridhaatu Madhu Villa Developers LLP,400019,"('19.023779000000000','72.854804000000000')",On-Going Project,12/31/2020,06/30/2021,12/31/2025,Residential,520.91,0.0,1756.2,12/13/2023,,,5.0,3.0,1.0,1.0,2.0,19.0,1.0,0.0,30.0,0.0,0.0,0.0
Mumbai City,P51900001070,Jawale Bhuvan,Prathamesh Developers & Project Consultants,400028,"('19.023175000000000','72.843432400000000')",On-Going Project,03/30/2021,03/30/2021,06/30/2022,Residential,351.17,0.0,1475.0,04/29/2022,,,17.0,16.0,1.0,1.0,0.0,20.0,0.0,0.0,24.0,0.0,0.0,0.0
Mumbai City,P51900003058,Ruparel Jewel,Renuka Realtors,400012,"('18.999540700000000','72.839708900000000')",On-Going Project,12/31/2020,12/31/2022,12/30/2024,Residential,5863.62,0.0,10941.24,10/04/2023,,6.0,194.0,31.0,0.0,0.0,6.0,70.0,1.0,0.0,309.0,0.0,0.0,0.0
Mumbai City,P51900012476,NEO PEARL,UNIVERSAL BUILDERS & DEVELOPERS,400004,"('18.957987700000000','72.821439900000000')",On-Going Project,03/31/2015,12/31/2017,12/31/2018,Residential,138.8,46.05,1830.69,02/20/2023,,,16.0,13.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai City,P51900002907,NEO GALAXY,UNIVERSAL BUILDERS & DEVELOPERS,400004,"('18.957987700000000','72.821439900000000')",On-Going Project,12/31/2019,12/30/2022,12/29/2023,Residential,333.52,95.03,2920.0,01/11/2024,1.0,2.0,25.0,8.0,0.0,1.0,2.0,20.0,1.0,0.0,16.0,0.0,0.0,0.0
Mumbai City,P51900000175,Heavan C Wing,Heet Builders Private Limited,400019,"('19.032522986666503','72.854164365606720')",On-Going Project,12/31/2021,12/30/2025,,Residential,180.88,219.14,1073.07,11/23/2020,,,18.0,4.0,0.0,1.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0
Mumbai City,P51900005988,Ruparel Iris,Ruparel Estates India Pvt Ltd,400016,"('19.038945500000000','72.842054600000000')",On-Going Project,12/31/2017,12/31/2019,06/30/2024,Others,1300.18,135.76,6751.24,10/19/2023,4.0,2.0,63.0,21.0,2.0,1.0,0.0,40.0,1.0,0.0,112.0,0.0,0.0,0.0
Mumbai City,P51900000192,EKTA INVICTUS,EKTA WORLD PRIVATE LIMITED,400014,"('19.014796200000000','72.845453400000000')",On-Going Project,12/31/2017,12/31/2018,12/31/2019,Residential,936.48,0.0,3792.74,10/06/2021,,1.0,24.0,24.0,0.0,1.0,8.0,23.0,1.0,2.0,27.0,0.0,0.0,0.0
Mumbai City,P51900008175,DAFFODIL,BUILDARCH LAND DEVLOPERS PVT. LTD.,400028,"('19.023175000000000','72.843432400000000')",On-Going Project,04/29/2019,12/30/2021,,Residential,545.85,0.0,2043.36,08/03/2021,,,33.0,8.0,0.0,1.0,0.0,15.0,1.0,0.0,28.0,0.0,0.0,0.0
Mumbai City,P51900000282,HEMLATA,Hiren Laxmichand Associate,400019,"('19.026901200000000','72.855377300000000')",On-Going Project,12/31/2019,12/31/2019,12/30/2021,Residential,613.72,0.0,2485.57,03/05/2021,,,10.0,2.0,1.0,1.0,5.0,21.0,1.0,0.0,1.0,0.0,0.0,0.0
Mumbai City,P51900002372,Greenstone Heritage - Wing -  D,Beauty Lifestyles and Homes Pvt. Ltd.,400001,"('18.945976200000000','72.833844100000000')",On-Going Project,05/31/2022,10/01/2025,,Others,560.0,163.84,10285.4,01/13/2024,1.0,,54.0,47.0,1.0,1.0,1.0,22.0,0.0,0.0,90.0,0.0,0.0,0.0
Mumbai City,P51900006016,9ALMEIDA,SACHISHAAN DEVELOPERS,400050,"('19.055169500000000','72.829951800000000')",On-Going Project,03/31/2018,12/31/2018,12/31/2019,Residential,694.0,0.0,1873.8,08/08/2019,,,13.0,4.0,2.0,1.0,0.0,15.0,1.0,0.0,38.0,0.0,0.0,0.0
