district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Mumbai Suburban,P51800002451,VIKI HEIGHTS,Divij Developers,400077,"('19.078961000000000','72.906927000000000')",On-Going Project,11/30/2018,11/30/2018,11/30/2019,Residential,652.2,0.0,1694.0,07/21/2021,,,27.0,19.0,0.0,1.0,0.0,12.0,21.0,10.0,21.0,0.0,0.0,0.0
Mumbai Suburban,P51800001311,Shri Krishna Kunj CHS Ltd,Ellora Developers,400060,"('19.138023000000000','72.856293000000000')",On-Going Project,12/31/2018,12/31/2018,,Residential,855.4,0.0,2835.0,09/29/2022,,,33.0,33.0,0.0,1.0,0.0,8.0,0.0,2.0,17.0,0.0,0.0,0.0
Mumbai Suburban,P51800000052,DGS HEIGHTS,D.G.BUILDERS,400063,"('19.164810900000000','72.853271500000000')",On-Going Project,12/31/2018,12/31/2018,12/31/2024,Residential,863.7,0.01,1384.47,09/12/2023,1.0,,32.0,25.0,0.0,1.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai Suburban,P51800000819,Deluxe Apartments,West Avenue Realtors Private Limited,400055,"('19.076619734304465','72.843567157458660')",On-Going Project,10/30/2020,04/30/2021,09/30/2022,Residential,1162.2,175.76,1891.96,09/21/2023,,,38.0,20.0,1.0,1.0,2.0,13.0,1.0,0.0,69.0,0.0,0.0,0.0
Mumbai Suburban,P51800000165,"The Trees, Residential Phase 1",Godrej Properties Limited,400079,"('19.093341000000000','72.920127000000000')",On-Going Project,06/30/2021,06/30/2022,,Residential,14067.0,5293.28,34305.79,08/28/2020,,4.0,391.0,369.0,20.0,11.0,0.0,124.0,9.0,124.0,551.0,0.0,0.0,0.0
Mumbai Suburban,P51800006315,VARDHMAN EMPIRE,VARDHMAN DEVELOPERS LTD,400067,"('19.195547000000000','72.839962000000000')",On-Going Project,12/31/2016,12/31/2018,12/30/2020,Residential,1750.6,0.0,4710.03,09/17/2021,,3.0,27.0,16.0,0.0,2.0,0.0,19.0,2.0,0.0,31.0,0.0,0.0,0.0
Mumbai Suburban,P51800001136,Neelyog Aashiyana,Neelyog Construction Pvt Ltd,400067,"('19.208314771533153','72.842459756552900')",On-Going Project,12/31/2018,03/30/2023,,Residential,1353.87,0.0,8162.75,07/20/2021,,,147.0,146.0,0.0,1.0,0.0,20.0,1.0,0.0,65.0,0.0,0.0,0.0
Mumbai Suburban,P51800006437,MEDHA CHSL,C H PATIL AND SONS LLP,400067,"('19.205712000000000','72.835798000000000')",On-Going Project,03/31/2019,03/31/2019,09/30/2020,Residential,945.3,0.0,2546.91,09/29/2021,,,29.0,14.0,0.0,1.0,0.0,10.0,1.0,0.0,25.0,0.0,0.0,0.0
Mumbai Suburban,P51800000004,KRISHNA ENCLAVE,ASHA DEVELOPERS,400055,"('19.080388500000000','72.846857100000000')",On-Going Project,12/31/2005,08/01/2023,,Residential,14467.1,1039.97,36167.75,07/30/2021,7.0,,405.0,174.0,2.0,3.0,3.0,39.0,3.0,166.0,12.0,0.0,0.0,0.0
Mumbai Suburban,P51800002057,MANHAR RESIDENCY,SHLOK ENTERPRISES (MANHAR),400068,"('19.254923000000000','72.854594000000000')",On-Going Project,08/26/2021,12/31/2019,06/30/2022,Residential,528.0,0.0,1695.0,02/07/2023,,,36.0,30.0,0.0,1.0,0.0,10.0,1.0,4.0,12.0,0.0,0.0,0.0
