district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Nashik,P51600033370,LABH MEADOWS,L K CONSTRUCTION,422001,"('19.997453300000000','73.789802299999990')",New Project,12/12/2026,,,Residential,783.0,2432.78,2432.78,05/27/2023,,,28.0,4.0,0.0,1.0,0.0,7.0,1.0,41.0,35.0,0.0,0.0,0.0
Nashik,P51600032954,GHANSHYAM HEIGHTS,QUALITY CONSTRUCTIONS,422003,,New Project,03/31/2025,,,Residential,535.72,0.0,1606.39,03/06/2023,,,24.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,13.0,0.0,0.0,0.0
Nashik,P51600033520,PANCHARATNA HEIGHTS,PANCHARATNA BUILDERS,422010,"('19.997453300000000','73.789802299999990')",New Project,12/31/2024,,,Residential,947.0,0.0,2896.18,10/16/2023,,,47.0,0.0,0.0,1.0,0.0,8.0,1.0,24.0,6.0,0.0,0.0,0.0
Nashik,P51600032836,ATREYA RESIDENCY,KAVITA RAJU BHADKE,422011,,New Project,12/31/2025,,,Residential,394.0,381.63,1152.92,06/03/2023,,,10.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Nashik,P51600033498,PRIDE,MOHIT DILIP KHIVASARA,422009,"('19.979717943495114','73.770685109227370')",New Project,07/03/2024,,,Residential,745.0,0.0,2262.71,10/20/2023,,,24.0,21.0,0.0,1.0,0.0,7.0,1.0,0.0,18.0,0.0,0.0,0.0
Nashik,P51600032955,Vinayak Appartment,Shrikrishna Arjun Patil,422010,,New Project,06/30/2025,,,Residential,332.16,0.0,778.65,03/15/2023,,,16.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
Nashik,P51600032979,REGENCY EMPIRE,REGENCY BUILDERS & DEVELOPERS,422006,,New Project,12/31/2024,,,Residential,475.48,0.0,1505.21,01/22/2022,,,18.0,0.0,0.0,1.0,0.0,7.0,0.0,30.0,21.0,0.0,0.0,0.0
Nashik,P51600032910,SHREENANDAN,SHREEYOG PROPERTIES,422011,"('19.989101425647970','73.804970191979210')",New Project,12/31/2024,,,Residential,1700.0,0.0,5043.2,01/11/2024,,,56.0,12.0,0.0,1.0,0.0,8.0,1.0,0.0,30.0,0.0,0.0,0.0
Nashik,P51600034336,KAMAL ELITE,KAMAL BUILDTECH,422010,"('19.946528597709115','73.770479666256700')",New Project,12/31/2025,,,Residential,380.0,0.0,1107.75,10/16/2023,,,16.0,12.0,0.0,1.0,0.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0
Nashik,P51600032982,Gajanan Park Phase 2 - Building C,Jaiprasad constructions and developers LLP,422002,,New Project,12/31/2026,,,Residential,3790.34,0.0,3487.76,01/11/2024,,,49.0,0.0,1.0,1.0,0.0,8.0,1.0,0.0,35.0,0.0,0.0,0.0
Nashik,P51600032770,JEET SQUARE,VIJAY MARUTIRAO RAUT,422003,,New Project,06/30/2025,,,Residential,541.9,0.0,1714.96,09/30/2023,,,25.0,19.0,0.0,1.0,0.0,6.0,1.0,3.0,15.0,0.0,0.0,0.0
Nashik,P51600033017,NANDAN RESIDENCY,SAHEJ BUILDERS AND DEVELOPERS LLP,422101,,New Project,01/01/2026,,,Residential,2900.0,0.0,4260.98,12/01/2023,,,16.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Nashik,P51600033144,SAI APARTMENT,SAI DEVELOPERS,422101,,New Project,01/01/2025,,,Residential,742.62,0.0,2080.83,02/05/2022,,,35.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Nashik,P51600047243,NOOR INFINITY,SHAKIL AHMED BAHSIR AHMED SHAIKH,422006,"('19.985339345715170','73.794506894612110')",New Project,12/31/2027,,,Residential,454.99,0.0,1455.78,08/17/2023,,,20.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,14.0,0.0,0.0,0.0
Nashik,P51600033255,Shreeniwas Apartment,SANDEEP VIJAY KOTHAWADE,422009,"('19.962495227667030','73.771996455454630')",New Project,12/31/2024,,,Residential,376.24,0.0,1150.0,02/15/2023,,,18.0,4.0,0.0,1.0,0.0,7.0,0.0,0.0,26.0,0.0,0.0,0.0
Nashik,P51600033251,Rushi Hans,Ankur Chaturbhai Rakholiya,422013,"('19.997453300000000','73.789802299999990')",New Project,12/31/2025,,,Residential,971.24,0.0,2249.41,02/02/2022,,,36.0,0.0,0.0,1.0,0.0,5.0,0.0,63.0,12.0,0.0,0.0,0.0
Nashik,P51600032903,SHIVRAJA HEIGHTS,SHIVRAJA HEIGHTS,422010,,New Project,12/16/2022,,,Residential,404.0,0.0,642.0,01/18/2022,,,20.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Nashik,P51600033009,ADWAIT PLAZA,M M ASSOCIATES,422009,"('19.969732000000000','73.752480000000000')",New Project,12/25/2025,,,Residential,314.0,0.0,748.87,05/27/2023,,,10.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Nashik,P51600033661,SERENITY at Ashok Astoria,PENINSULA LAND LIMITED,422222,,New Project,03/31/2026,,,Residential,2403.0,0.0,15505.02,11/10/2022,1.0,1.0,188.0,29.0,0.0,3.0,0.0,50.0,3.0,70.0,3.0,0.0,0.0,0.0
Nashik,P51600032887,BHABAD RESIDENCY,CHABUBAI CHANDRAKANT SANGALE,422003,,New Project,12/31/2023,,,Residential,257.25,257.25,0.0,01/20/2022,,,9.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
