district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Aurangabad,P51500011537,SAINATHVILLA Phase II,Sainath Builders & Developers,431001,"('19.858827000000000','75.442968000000000')",On-Going Project,05/31/2018,05/31/2018,,Residential,3032.7,477.77,1761.94,02/02/2023,,,32.0,21.0,0.0,2.0,0.0,10.0,2.0,8.0,2.0,0.0,0.0,0.0
Aurangabad,P51500001870,AANAND SHILP APARTMENT,Shilp Constructions,431001,"('19.879709000000000','75.325572000000000')",On-Going Project,06/30/2018,12/31/2018,,Residential,397.5,397.5,699.68,04/09/2021,,,10.0,1.0,0.0,1.0,0.0,6.0,1.0,10.0,0.0,0.0,0.0,0.0
Aurangabad,P51500002341,FLORENZA VILLAS,Mahesh Vithalrao Labhshetwar,431005,"('19.848946000000000','75.276947000000000')",On-Going Project,12/31/2019,12/31/2019,06/30/2024,Residential,9400.0,940.0,8145.0,05/26/2020,,,27.0,12.0,0.0,7.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0
Aurangabad,P51500000594,RAAJ SWAPNAPURTI,S RAAJ ASSOCIATES,431001,"('19.859908000000000','75.268353000000000')",On-Going Project,12/31/2017,12/31/2018,,Residential,8100.0,798.5,5537.0,07/18/2023,,,121.0,54.0,0.0,7.0,0.0,20.0,2.0,0.0,40.0,0.0,0.0,0.0
Aurangabad,P51500005443,The HUB,ZAMBAD INFRASTRUCTURE LIMITED,431154,"('21.073548800000000','78.961348600000000')",On-Going Project,06/30/2019,12/31/2019,,Residential,9100.0,872.57,9304.85,07/30/2021,,,308.0,0.0,1.0,4.0,0.0,22.0,0.0,1.0,77.0,0.0,0.0,0.0
Aurangabad,P51500004987,OMICRON ASPIRE,OMICRON DEVELOPERS,431007,"('18.606662800000000','73.752467300000000')",On-Going Project,12/31/2015,06/30/2018,,Residential,12100.0,1054.0,8697.6,12/06/2019,,,171.0,71.0,0.0,12.0,0.0,36.0,12.0,0.0,171.0,0.0,0.0,0.0
Aurangabad,P51500001817,Ekdant Srushti Phase-1,Sanjeevkumar Harakchand Kankariya,431001,"('19.883247000000000','75.492301000000000')",On-Going Project,04/30/2018,12/31/2018,,Residential,910.0,0.0,1092.0,12/08/2020,,,36.0,20.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
Aurangabad,P51500000376,Pride Phoenix Building - A,ABAD ESTATE AOP,431001,"('19.868784501308050','75.402703372007750')",On-Going Project,12/31/2018,12/31/2018,,Residential,949.78,304.19,3570.99,02/19/2022,,,42.0,38.0,0.0,1.0,0.0,8.0,1.0,11.0,31.0,0.0,0.0,0.0
Aurangabad,P51500004795,SAI SANKUL PHASE-II,SHREE VENKATESH DEVELOPERS,431003,"('19.884216000000000','75.391297000000000')",On-Going Project,03/31/2019,03/31/2019,,Residential,580.48,0.0,893.78,11/07/2020,,,24.0,11.0,1.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0
Aurangabad,P51500001293,Sai Bhadra Residency,Sai Builders,431005,"('19.879514000000000','75.348259000000000')",On-Going Project,06/23/2018,12/23/2018,,Residential,626.5,0.0,1026.6,06/20/2021,,,18.0,9.0,0.0,1.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0
Aurangabad,P51500000992,HARIKUNJ,DEEPAK RADHESHYAM JHUNJHUNWALA,431105,"('19.727808000000000','75.299350000000000')",On-Going Project,03/31/2024,03/30/2025,,Residential,7119.69,1240.38,7460.54,08/15/2021,,,161.0,0.0,0.0,5.0,0.0,20.0,8.0,137.0,8.0,0.0,0.0,0.0
