district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Palghar,P99000003915,Golden Eye,Kotak Sons,401407,"('19.697454800000000','72.714149600000000')",On-Going Project,02/28/2019,02/28/2019,,Residential,11000.0,1500.0,2474.76,03/12/2020,,,44.0,17.0,0.0,2.0,0.0,8.0,2.0,20.0,16.0,0.0,0.0,0.0
Palghar,P99000017141,Kotak Royale,Kotak Sons,401404,"('19.693558100000000','72.765518400000020')",New Project,12/01/2020,,06/30/2024,Residential,4234.0,408.77,2667.1,12/10/2023,,,96.0,12.0,0.0,2.0,0.0,12.0,2.0,40.0,2.0,0.0,0.0,0.0
Palghar,P99000004132,OCEAN PEARL,OCEAN DEVELOPERS,401404,"('19.700804000000000','72.765336000000000')",On-Going Project,12/31/2018,12/31/2018,,Residential,2600.0,436.07,2780.16,07/14/2021,,,58.0,9.0,0.0,1.0,0.0,5.0,2.0,81.0,2.0,0.0,0.0,0.0
Palghar,P99000007481,Nikhil Tower Building No 2,M/S. SAMARTH BUILDERS & LAND DEVELOPERS,401303,"('19.434428900000000','72.922432900000000')",On-Going Project,12/01/2018,06/01/2019,11/30/2021,Residential,1434.91,0.0,2649.43,12/12/2022,,,140.0,42.0,0.0,1.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0
Palghar,P99000008958,SHUBHAM PARADISE,ARHAM REALTORS,401303,"('19.434428900000000','72.922432900000000')",On-Going Project,06/30/2022,06/30/2023,,Residential,836.05,6.0,4299.77,12/05/2019,,,85.0,60.0,0.0,1.0,0.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0
Palghar,P99000005498,Shree Ganesh Kuteer,Shree Mahalaxmi Ventures,401201,"('19.369526200000000','72.786551800000000')",On-Going Project,09/30/2017,03/31/2018,,Residential,1287.63,0.0,1558.0,10/29/2018,,,34.0,31.0,0.0,1.0,0.0,8.0,1.0,9.0,14.0,0.0,0.0,0.0
Palghar,P99000000160,SAI SAHARA APARTMENT,Sai Sahara Construction Company,401202,"('19.336721585882806','72.806908908413330')",On-Going Project,09/12/2017,12/30/2024,,Residential,2009.54,193.0,1893.41,06/27/2019,,,88.0,38.0,0.0,2.0,0.0,16.0,1.0,18.0,0.0,0.0,0.0,0.0
Palghar,P99000007365,POONAM PALLAZO,POONAM SHANTI DEVELOPERS,401203,"('19.416676100000000','72.798370500000000')",On-Going Project,04/30/2015,12/31/2019,12/30/2021,Residential,1881.76,650.0,6780.75,07/17/2021,,,173.0,173.0,0.0,2.0,0.0,23.0,2.0,0.0,19.0,0.0,0.0,0.0
Palghar,P99000000116,EKTA PARKSVILLE PHASE I,EKTA PARKSVILLE HOMES PVT. LTD.,401303,"('19.471892000000000','72.800427000000000')",On-Going Project,12/31/2019,12/31/2019,03/31/2023,Residential,2842.89,1043.21,26078.7,11/09/2023,4.0,16.0,648.0,633.0,0.0,9.0,0.0,144.0,9.0,0.0,8.0,0.0,0.0,0.0
Palghar,P99000002162,TULIP RESIDENCY,BRRIGHT REALTORS,401404,"('19.702108000000000','72.762526000000000')",On-Going Project,03/31/2018,03/31/2018,12/31/2018,Residential,493.0,0.0,559.77,06/25/2021,,,21.0,19.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
