district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Pune,P52100012200,NANDHA RESIDENCY,AMIT C THAKUR,412202,"('18.488377900000000','74.102128200000000')",On-Going Project,12/28/2017,06/15/2018,,Residential,1571.31,0.0,1347.22,11/11/2021,,,27.0,9.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
Pune,P52100006356,Immense Heights,Immense Realty,410506,"('18.715580000000000','73.669579000000000')",New Project,11/30/2020,,,Residential,540.0,0.0,647.49,03/02/2019,,,24.0,0.0,0.0,1.0,0.0,5.0,1.0,5.0,7.0,0.0,0.0,0.0
Pune,P52100002664,NAVALAKHA RITZ,NAVALAKHA CHORADIYA ASSOCIATES,411014,"('18.559884000000000','73.941599000000000')",On-Going Project,05/05/2015,05/15/2018,12/31/2018,Residential,5180.14,400.0,4279.42,01/30/2019,,,60.0,44.0,1.0,1.0,0.0,14.0,0.0,16.0,44.0,0.0,0.0,0.0
Pune,P52100001864,The Crown Greens,International Biotech Park Limited,411057,"('18.591763322485868','73.707678391540530')",On-Going Project,11/18/2017,12/30/2021,,Residential,2080.0,0.0,15999.82,08/18/2021,,1.0,176.0,176.0,2.0,2.0,0.0,46.0,2.0,24.0,66.0,0.0,0.0,0.0
Pune,P52100002029,Dwarika Nagari,Yashodhan Associates,411048,"('18.446558000000000','73.880548000000000')",On-Going Project,12/31/2019,12/31/2019,,Residential,6986.14,675.0,8091.12,01/25/2021,,1.0,240.0,105.0,0.0,3.0,0.0,27.0,3.0,165.0,75.0,0.0,0.0,0.0
Pune,P52100000783,BELLA VITA,MALKANI PROPERTIES,412207,"('18.573108000000000','73.964451000000000')",On-Going Project,06/30/2017,03/31/2018,,Residential,5227.5,615.0,4642.0,03/22/2022,,,102.0,90.0,0.0,2.0,0.0,14.0,2.0,44.0,52.0,0.0,0.0,0.0
Pune,P52100000071,Pratham Yash Residency,PRATHAM YASH ASSOCIATES,411047,"('18.608427000000000','73.911237000000000')",On-Going Project,12/31/2017,12/31/2018,12/31/2019,Residential,8950.28,779.0,7686.96,09/10/2019,,,181.0,96.0,0.0,6.0,2.0,35.0,1.0,62.0,120.0,0.0,0.0,0.0
Pune,P52100000738,SunShine Residency,Concrete Constructions,411037,"('18.484141000000000','73.887870000000000')",On-Going Project,12/31/2018,12/31/2018,,Residential,561.1,0.0,925.82,09/23/2021,,,16.0,6.0,0.0,1.0,0.0,6.0,1.0,0.0,16.0,0.0,0.0,0.0
Pune,P52100000011,Yashwin Jeevan,Vilas Javdekar & Sanjeevani Developers LLP,411021,"('18.562396000000000','73.757154000000000')",On-Going Project,04/30/2018,04/30/2018,,Residential,10600.0,1010.78,12600.89,06/29/2023,,,208.0,208.0,0.0,4.0,0.0,44.0,4.0,32.0,51.0,0.0,0.0,0.0
Pune,P52100000088,Acropolis,Millennium Developers,411057,"('18.606144228462025','73.745236064495880')",On-Going Project,12/31/2019,01/15/2020,,Residential,5180.0,525.05,10184.7,10/22/2020,,,172.0,151.0,0.0,3.0,0.0,36.0,0.0,72.0,95.0,0.0,0.0,0.0
Pune,P52100000983,Gini Viviana F Bldg Phase 2,Gini Citicorp Realty LLP,411045,"('18.580030000000000','73.768282000000000')",On-Going Project,03/31/2018,03/31/2018,03/31/2019,Residential,2034.84,0.0,3035.77,03/04/2020,,,35.0,35.0,1.0,1.0,0.0,12.0,1.0,10.0,40.0,0.0,0.0,0.0
Pune,P52100000051,Athashri Xion,PSC Pacific,411057,"('18.593395000000000','73.745541000000000')",On-Going Project,03/31/2019,03/31/2019,,Residential,3714.78,0.0,4456.59,02/09/2019,2.0,,98.0,98.0,0.0,1.0,0.0,8.0,1.0,11.0,51.0,0.0,0.0,0.0
Pune,P52100000641,SILVER CREST,AVNEE LANDMARKS LLP,411017,"('18.610317900000000','73.788968900000000')",On-Going Project,03/31/2018,03/31/2018,,Residential,1074.0,0.0,1162.68,10/16/2019,,,15.0,15.0,0.0,1.0,0.0,5.0,1.0,0.0,16.0,0.0,0.0,0.0
Pune,P52100000084,Park Infinia Phase III,Kumar Properties and Real Estate Pvt. Ltd.,412308,"('18.486306283720750','73.959342115483080')",On-Going Project,01/31/2021,05/31/2019,,Residential,17825.61,1782.56,25157.62,02/03/2023,,,334.0,334.0,0.0,8.0,0.0,103.0,8.0,219.0,127.0,0.0,0.0,0.0
Pune,P52100008111,SQUARE PARK 1,K K BUILDCON AMENITY AND A BUILDING,412208,"('18.675740000000000','74.144078000000000')",On-Going Project,06/15/2021,06/15/2022,,Residential,9000.0,780.7,3448.2,08/19/2023,,,68.0,54.0,0.0,2.0,0.0,12.0,1.0,22.0,1.0,0.0,0.0,0.0
Pune,P52100000073,PEBBLE PARK D1,Kumar Construction and Properties Pvt Ltd,411028,"('18.474154000000000','73.936482000000000')",On-Going Project,04/30/2020,10/30/2020,,Residential,750.0,5814.72,6683.99,04/21/2023,,,112.0,112.0,0.0,1.0,0.0,15.0,1.0,47.0,65.0,0.0,0.0,0.0
Pune,P52100001789,"A3, Song of Joy, Geras Greensville2",Gera Developments Private Limited,411014,"('18.557463000000000','73.957995000000000')",On-Going Project,10/01/2018,06/30/2019,,Residential,1515.71,5891.3,5216.83,09/30/2019,11.0,,60.0,60.0,2.0,0.0,1.0,16.0,1.0,30.0,90.0,0.0,0.0,0.0
Pune,P52100000252,SELENA B,Kumar Construction and Properties Pvt Ltd,411021,"('18.549277000000000','73.793088000000000')",On-Going Project,03/30/2019,03/30/2019,,Residential,700.0,487.7,3704.55,09/02/2020,,,22.0,11.0,0.0,1.0,0.0,13.0,2.0,22.0,44.0,0.0,0.0,0.0
Pune,P52100002770,Chlorophyll,Capstone Landmarks Pvt Ltd,411045,"('18.556232497544897','73.773484927686240')",On-Going Project,05/20/2019,06/30/2019,12/29/2020,Residential,3142.23,262.64,4364.37,01/01/1900,,,52.0,9.0,1.0,1.0,0.0,14.0,1.0,32.0,59.0,0.0,0.0,0.0
Pune,P52100003757,SWASTIK SPIRA,SWASTIK ASSOCIATES,411062,"('18.683553000000000','73.829685000000000')",On-Going Project,12/31/2017,03/31/2018,,Residential,2858.77,286.09,4139.75,07/18/2023,,,94.0,46.0,0.0,1.0,0.0,13.0,0.0,66.0,0.0,0.0,0.0,0.0
Pune,P52100000015,Sai Kunj,Vighnaharta Developers & Promoters,412101,"('18.674252800000000','73.730133100000000')",On-Going Project,12/31/2017,03/31/2018,,Residential,1410.84,0.0,1856.77,01/12/2019,,,45.0,36.0,0.0,1.0,0.0,5.0,1.0,10.0,1.0,0.0,0.0,0.0
Pune,P52100000784,Durvankur Apartment,Vinayak Developers,411017,"('18.610317900000000','73.788968900000000')",On-Going Project,12/31/2018,12/31/2018,,Residential,400.0,0.0,339.83,07/14/2019,,,10.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Pune,P52100000144,OMKAR MEADOWS,OMKAR LIFESPACES,412207,"('18.579856000000000','73.994908000000000')",On-Going Project,03/31/2018,06/30/2018,,Residential,925.0,0.0,1128.0,11/21/2021,,,18.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,18.0,0.0,0.0,0.0
Pune,P52100012123,Sugam  Cooperative  Housing Society Limited,Kotibhaskar Infrastructures &Developers Pvt.Ltd.,411038,"('18.503223000000000','73.824760000000000')",On-Going Project,12/22/2018,06/22/2019,,Residential,988.7,0.0,1620.9,10/13/2021,,,20.0,20.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
Pune,P52100003479,Gopalkrupa,LAGOO APTE,411005,"('18.525633000000000','73.849143000000000')",On-Going Project,12/31/2018,12/31/2018,,Residential,775.98,0.0,1239.98,02/08/2022,,,18.0,16.0,0.0,1.0,0.0,6.0,0.0,0.0,24.0,0.0,0.0,0.0
