district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi
Mumbai Suburban,P51800010062,Ganeshwadi CHS LTD - S.R.A,Ashok Rajaram Gupta,400084,"('19.094432000000000','72.903303000000000')",On-Going Project,06/11/2020,12/30/2023,Residential,9103.65,939.21,3131.01
Mumbai Suburban,P51800012063,Laaffaires Avenue Commercial and Laflor Residency Commercial,SSV Realtors,400083,"('19.116619100000001','72.937422699999999')",On-Going Project,12/30/2026,12/30/2028,Others,9585.77,766.86,18050.0
Palghar,P99000012849,"JANAVI PLAZA, JANAVI TOWER",JANAVI BUILDERS & DEVELOPERS,401208,"('19.373481999999999','72.886993000000004')",On-Going Project,10/31/2017,12/31/2017,Residential,4500.0,376.95,3400.0
Mumbai Suburban,P51800013116,MITHA NAGAR ARCHANA CHS LTD,DHANSHREE DEVELOPERS PVT LTD,400062,"('19.159339599999999','72.842685799999998')",On-Going Project,06/30/2019,06/30/2019,Residential,843.5,0.0,2108.75
Palghar,P99000020705,Hari Om Villa,Maheshkumar Chunilal Shah,400104,,New Project,05/01/2023,,Others,7233.0,1009.0,0.0
Mumbai Suburban,P51800028224,Mangal Smriti,MANGAL BUILDHOME PRIVATE LIMITED,400071,"('19.248600000000000','73.014099999999980')",New Project,06/30/2022,,Residential,717.0,0.0,953.29
Thane,P51700027511,RAM RATAN COMPLEX - B WING - LAXMAN,Ram Ratan Developers,421202,,New Project,06/30/2022,,Residential,350.0,0.0,666.77
Thane,P51700024069,RAM RATAN COMPLEX - A WING - RAM,Ram Ratan Developers,421202,,New Project,06/30/2022,,Residential,360.0,0.0,585.97
Thane,P51700026331,SHREE BUILDERS AND DEVELOPERS,M/S SHREE BUILDERS AND DEVELOPERS,421201,,New Project,11/30/2022,,Residential,285.0,0.0,2467.0
Thane,P51700026614,SAI BUILDERS AND DEVELOPERS,SHIVSAGAR GURUCHARAN YADAV,421306,,New Project,02/28/2025,,Residential,1820.0,0.0,1049.25
Thane,P51700027633,SHREE KRISHNA INFRA,SHREE KRISHNA INFRA,421202,,New Project,04/01/2026,,Residential,700.0,0.0,4065.05
Thane,P51700027636,SHREE SAMARTH BALAJI BUILDERS AND DEVELOPERS,SHREE SAMARTH BALAJI BUILDERS AND DEVELOPERS,421202,,New Project,04/01/2024,,Residential,390.0,0.0,2293.0
Thane,P51700027817,MATOSHREE DEVELOPERS,MATOSHREE DEVELOPERS THR PARTNER BHASKAR SHINDE,421202,,New Project,04/01/2024,,Residential,800.0,1010.0,4231.87
Thane,P51700028064,SAILEELA DEVELOPERS,SAILEELA DEVELOPERS,421201,,New Project,04/01/2024,,Residential,186.0,0.0,2484.0
Thane,P51700028103,EKVEERA ENTERPRISES,EKVEERA ENTERPRISES,421201,,New Project,04/01/2025,,Residential,1200.0,0.0,3061.33
Thane,P51700028129,DURGA CONSTRUCTION BUILDERS AND DEVELOPERS,DURGA CONSTRUCTION,421201,,New Project,04/01/2024,,Residential,362.0,0.0,3358.7
Thane,P51700028143,VINAYAK ENTERPRISES,VINAYAK ENTERPRISES,421204,,New Project,04/01/2025,,Residential,1020.0,0.0,4764.86
Thane,P51700028232,OM LILAI BUILDER AND DEVELOPERS,OM LILAI BUILDERS AND DEVLOPERS,421201,,New Project,02/29/2024,,Residential,2730.0,0.0,5166.0
Thane,P51700028182,RUDRA INFRA,MS RUDRA INFRA THR PORP AMOL B KADUSKAR,421201,,New Project,04/01/2024,,Residential,400.0,0.0,3666.35
Thane,P51700028573,SANSKAR BUILDCON BUILDERS AND DEVELOPERS,SANSKAR BUILDCON,421204,,New Project,04/01/2024,,Residential,3190.0,0.0,9320.0
Thane,P51700028349,BALAJI DEVELOPERS,ARUN PRATAP SINGH,421201,,New Project,04/01/2024,,Residential,610.0,0.0,2885.68
Thane,P51700028410,VISHNU SHAHU CONSTRUCTION,VISHNU SHAHU CONSTRUCTION,421201,,New Project,04/01/2024,,Residential,1065.22,0.0,5190.52
Thane,P51700028346,VINAYAK CONSTRUCTION,VINAYAK CONSTRUCTION,421201,,New Project,04/01/2024,,Residential,2450.0,0.0,10263.0
Thane,P51700028549,ADITYA INFRA,ADITYA INFRA,421201,,New Project,04/01/2024,,Residential,510.0,0.0,3459.57
Thane,P51700028614,PIMPLADEVI CONSTRUCTION,PIMPLADEVI CONSTRUCTION SUNILKUMAR C SAHU,421202,,New Project,04/01/2025,,Residential,268.0,0.0,1183.08
Thane,P51700028616,VINAYAK CONSTRUCTION,VINAYAK CONSTRUCTION,421201,,New Project,04/01/2024,,Residential,2450.0,0.0,4824.81
Thane,P51700029181,OM SAI CONSTRUCTION,OM SAI CONSTRUCTION THR RAJARAM SITARAM BHOJANE,421201,,New Project,10/01/2023,,Residential,385.0,0.0,2142.19
Thane,P51700028572,SHREE BALAJI DEVELOPERS,SHREE BALAJI DEVELOPERS,421201,,New Project,04/01/2024,,Residential,1025.0,0.0,4223.04
Thane,P51700028640,GULMOHAR DEVELOPERS,GULMOHAR DEVELOPERS,421201,,New Project,04/01/2025,,Residential,700.0,0.0,700.0
Thane,P51700029331,MS MACHINDRANATH ENTERPRISES,SITA SADASHIV PATIL,421201,,New Project,10/01/2023,,Residential,650.0,0.0,3859.2
Thane,P51700029420,EXPERT HOME CONSTRUCTION LLP,EXPERT HOME CONSTRUCTION LLP,421201,,New Project,12/01/2022,,Residential,300.0,0.0,1722.58
Thane,P51700029550,TRIJAL ENTERPRISES,TRIJAL ENTERPRISES,421301,,New Project,08/01/2022,,Residential,450.0,0.0,2364.31
Mumbai Suburban,P51800030301,Rite Civis,Yashodanand Developers,400078,"('19.150353000000000','72.941391000000000')",New Project,12/31/2023,,Others,1618.3,242.93,2112.98
Thane,P51700030128,SHREE SAI CHAYA ARCADE,AMARDEEP ANANT KHANDEKAR,421201,,New Project,06/30/2022,,Residential,900.0,0.0,815.0
Thane,P51700029942,SHIV DRUSHTI,AADITY INFRA,421201,,New Project,12/31/2023,,Others,230.0,0.0,1276.26
Thane,P51700029669,MS SAI DEVELOPERS,MS SAI DEVELOPERS,421201,,New Project,10/01/2023,,Residential,500.0,0.0,4528.0
Thane,P51700029880,GAONDEVI HEIGHTS,RAJYOG ENTERPRISES,421202,,New Project,06/30/2022,,Residential,314.6,0.0,1672.03
Thane,P51700030255,CHIRAG CONSTRUCTION,CHIRAG GAJANAN PATIL,421301,,New Project,08/01/2022,,Residential,1000.0,0.0,3403.0
Thane,P51700030187,GAONDEVI ENTERPRISES,GAONDEVI ENTERPRISES,421201,,New Project,12/01/2023,,Residential,500.0,0.0,3614.0
Thane,P51700030360,GAONDEVI CONTRUCTION,GAONDEVI CONSTRUCTION,421202,,New Project,12/01/2023,,Residential,700.0,0.0,3034.38
Thane,P51700030499,SHIV SAI BALAJI BUILDCON,SHIV SAI BALAJI BUILDCON,421201,,New Project,12/01/2023,,Residential,700.0,0.0,3721.18
Thane,P51700030361,VINAYAK VATIKA BUILDERS AND DEVELOPERS,VINAYAK VATIKA BUILDERS AND DEVELOPERS,421201,,New Project,12/01/2023,,Residential,390.0,0.0,2138.94
Thane,P51700030731,SAISH ENCLAVE,SAISH INFRA,421201,,New Project,04/30/2022,,Residential,400.0,0.0,1668.29
Thane,P51700031329,SANTULA ARCHADE,BHAVANI DEVELOPERS,421202,,New Project,12/31/2022,,Residential,240.0,0.0,1268.54
Mumbai Suburban,P51800032809,VARDHMAN PEARL,DIWALI DEVELOPERS,400064,"('19.191516100000000','72.845588900000000')",New Project,12/31/2024,,Others,4913.6,234.31,3364.4
Thane,P51700031473,VALKU HERITAGE,SHREE SAMARTH DEVELOPERS,421203,,New Project,12/31/2022,,Residential,400.0,0.0,2313.12
